,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,MonthlyCharges,RiskScore,Engagement
146,61,1,58,24,9,5,3,1,201,20,0,201.0,14,0.4067796610169492
147,38,0,16,13,2,28,3,12,133,24,1,11.08,30,0.7647058823529411
148,39,1,24,6,5,28,3,3,910,22,1,303.33,33,0.24
149,29,1,42,8,8,21,3,3,419,27,1,139.67,29,0.18604651162790697
150,31,1,20,12,1,7,3,12,115,7,0,9.58,8,0.5714285714285714
151,25,1,22,5,5,29,1,1,121,20,0,121.0,34,0.21739130434782608
152,62,1,22,30,9,21,1,12,736,24,0,61.33,30,1.3043478260869565
153,64,1,13,16,10,18,2,12,934,11,0,77.83,28,1.1428571428571428
154,57,0,7,27,7,23,2,12,640,1,0,53.33,30,3.375
155,48,1,41,25,10,1,2,12,119,13,0,9.92,11,0.5952380952380952
156,21,1,3,8,5,15,3,3,994,25,0,331.33,20,2.0
157,26,0,16,10,0,14,2,12,411,19,0,34.25,14,0.5882352941176471
158,63,1,36,21,8,0,3,12,817,22,0,68.08,8,0.5675675675675675
159,28,1,14,5,3,4,3,1,200,7,0,200.0,7,0.3333333333333333
160,36,1,51,1,0,7,3,12,837,16,0,69.75,7,0.019230769230769232
161,31,1,34,23,5,12,2,3,164,2,0,54.67,17,0.6571428571428571
162,64,0,46,2,1,12,1,3,413,12,0,137.67,13,0.0425531914893617
163,49,0,53,16,5,3,2,12,423,15,0,35.25,8,0.2962962962962963
164,58,0,54,18,1,29,3,3,235,29,1,78.33,30,0.32727272727272727
165,51,1,6,22,7,23,3,3,862,3,0,287.33,30,3.142857142857143
166,62,0,10,11,5,1,2,3,775,6,0,258.33,6,1.0
167,41,0,55,17,10,12,3,1,259,22,0,259.0,22,0.30357142857142855
168,22,0,59,9,4,9,1,1,581,4,0,581.0,13,0.15
169,56,1,52,27,5,13,2,12,796,25,0,66.33,18,0.5094339622641509
170,59,0,20,8,10,3,2,12,317,20,0,26.42,13,0.38095238095238093
171,51,0,6,1,9,18,2,3,354,12,1,118.0,27,0.14285714285714285
172,57,1,5,13,7,3,1,3,821,16,0,273.67,10,2.1666666666666665
173,56,0,36,4,4,21,3,3,946,30,1,315.33,25,0.10810810810810811
174,23,1,42,23,6,24,2,1,838,6,1,838.0,30,0.5348837209302325
175,33,0,52,26,0,10,2,3,136,4,0,45.33,10,0.49056603773584906
176,29,1,31,30,8,24,3,3,150,11,1,50.0,32,0.9375
177,49,1,40,11,4,17,3,1,546,7,0,546.0,21,0.2682926829268293
178,25,0,28,8,4,23,3,1,716,1,1,716.0,27,0.27586206896551724
179,37,1,1,7,4,22,2,12,699,15,0,58.25,26,3.5
180,45,1,40,10,10,28,3,12,912,8,1,76.0,38,0.24390243902439024
181,53,1,13,11,9,14,1,12,350,9,0,29.17,23,0.7857142857142857
182,33,0,60,24,10,18,3,1,423,24,1,423.0,28,0.39344262295081966
183,20,1,5,22,8,0,3,1,973,25,0,973.0,8,3.6666666666666665
184,62,1,26,18,1,16,2,12,683,12,0,56.92,17,0.6666666666666666
185,37,1,55,8,8,4,2,1,561,16,0,561.0,12,0.14285714285714285
186,51,1,38,21,4,5,1,3,203,26,0,67.67,9,0.5384615384615384
187,21,0,41,13,8,22,3,1,538,18,1,538.0,30,0.30952380952380953
188,64,1,60,25,5,8,3,12,720,24,0,60.0,13,0.4098360655737705
189,41,1,50,15,6,1,2,12,588,10,0,49.0,7,0.29411764705882354
190,44,1,44,30,0,26,2,1,656,6,0,656.0,26,0.6666666666666666
191,20,1,4,26,8,12,2,12,733,4,0,61.08,20,5.2
192,18,1,28,12,3,20,2,1,261,13,0,261.0,23,0.41379310344827586
193,41,0,58,24,9,16,2,12,447,20,1,37.25,25,0.4067796610169492
194,50,1,46,2,4,28,3,12,527,19,0,43.92,32,0.0425531914893617
195,59,1,41,29,3,1,1,3,833,5,0,277.67,4,0.6904761904761905
196,39,1,29,25,4,2,2,3,254,20,0,84.67,6,0.8333333333333334
197,19,1,17,11,6,24,2,3,715,15,0,238.33,30,0.6111111111111112
198,29,0,56,21,3,26,1,3,239,29,1,79.67,29,0.3684210526315789
199,45,0,20,1,4,15,2,1,224,13,0,224.0,19,0.047619047619047616
200,36,1,24,29,1,26,3,1,566,8,0,566.0,27,1.16
201,20,0,9,27,5,16,2,12,295,21,0,24.58,21,2.7
202,30,0,44,22,4,18,2,3,890,12,0,296.67,22,0.4888888888888889
203,33,1,5,25,1,26,2,12,821,27,0,68.42,27,4.166666666666667
204,27,1,29,30,4,3,1,12,258,18,0,21.5,7,1.0
205,36,0,26,7,2,3,1,12,371,8,0,30.92,5,0.25925925925925924
206,33,1,35,29,9,18,1,1,335,8,1,335.0,27,0.8055555555555556
207,18,1,33,18,1,22,1,12,312,29,0,26.0,23,0.5294117647058824
208,64,1,13,20,0,22,2,3,749,14,0,249.67,22,1.4285714285714286
209,48,1,36,19,1,13,3,12,140,28,0,11.67,14,0.5135135135135135
210,57,0,15,4,5,30,2,3,960,21,1,320.0,35,0.25
211,28,0,22,5,1,2,3,3,838,10,0,279.33,3,0.21739130434782608
212,28,1,56,7,2,25,1,1,854,26,0,854.0,27,0.12280701754385964
213,22,0,45,29,8,7,2,1,344,17,0,344.0,15,0.6304347826086957
214,56,1,11,10,10,10,1,12,841,26,0,70.08,20,0.8333333333333334
215,23,0,31,15,6,11,1,3,705,24,0,235.0,17,0.46875
216,59,1,44,7,8,9,2,12,890,26,0,74.17,17,0.15555555555555556
217,46,1,27,25,6,8,1,1,150,28,0,150.0,14,0.8928571428571429
218,56,1,8,11,10,12,3,3,866,15,0,288.67,22,1.2222222222222223
219,37,0,25,19,8,26,2,1,212,13,1,212.0,34,0.7307692307692307
220,36,1,46,5,2,11,3,3,524,6,0,174.67,13,0.10638297872340426
221,59,1,36,16,4,26,2,12,894,29,0,74.5,30,0.43243243243243246
222,56,0,15,19,3,2,2,3,650,3,0,216.67,5,1.1875
223,51,0,32,20,2,24,2,3,505,21,0,168.33,26,0.6060606060606061
224,38,0,29,18,4,16,2,12,909,24,0,75.75,20,0.6
225,20,1,60,29,7,22,2,3,298,23,1,99.33,29,0.47540983606557374
226,60,0,16,24,6,21,1,1,725,14,1,725.0,27,1.411764705882353
227,49,1,59,9,2,18,3,12,733,18,0,61.08,20,0.15
228,20,0,55,25,1,26,3,3,382,8,1,127.33,27,0.44642857142857145
229,58,0,29,20,0,20,2,3,126,9,0,42.0,20,0.6666666666666666
230,27,1,50,1,10,30,2,12,736,4,1,61.33,40,0.0196078431372549
231,20,0,29,5,4,17,1,12,584,26,0,48.67,21,0.16666666666666666
232,63,1,46,2,4,9,1,3,969,30,1,323.0,13,0.0425531914893617
233,47,0,33,5,4,23,3,3,393,14,1,131.0,27,0.14705882352941177
234,63,1,18,15,3,27,3,12,722,26,0,60.17,30,0.7894736842105263
235,62,1,51,9,2,0,3,1,654,16,0,654.0,2,0.17307692307692307
236,46,0,35,29,8,5,2,1,805,2,0,805.0,13,0.8055555555555556
237,49,0,33,23,3,21,3,12,230,23,1,19.17,24,0.6764705882352942
238,46,0,52,26,5,27,1,1,403,14,1,403.0,32,0.49056603773584906
239,64,0,11,7,1,8,1,12,984,14,0,82.0,9,0.5833333333333334
240,60,1,13,17,7,19,1,1,849,26,0,849.0,26,1.2142857142857142
241,54,1,44,24,1,16,3,12,664,3,0,55.33,17,0.5333333333333333
242,47,0,52,3,6,1,3,3,408,7,0,136.0,7,0.05660377358490566
243,37,1,55,28,4,26,1,1,826,17,0,826.0,30,0.5
244,19,0,1,13,6,9,1,1,302,3,0,302.0,15,6.5
245,52,0,33,14,8,2,2,3,846,11,0,282.0,10,0.4117647058823529
246,62,1,5,18,6,14,2,12,205,22,0,17.08,20,3.0
247,48,1,54,15,7,18,2,3,131,11,1,43.67,25,0.2727272727272727
248,60,1,18,27,1,30,2,12,426,30,0,35.5,31,1.4210526315789473
249,58,1,15,2,1,13,3,12,309,23,0,25.75,14,0.125
250,43,1,31,8,7,28,3,1,313,10,1,313.0,35,0.25
251,26,1,41,27,8,15,3,1,889,6,0,889.0,23,0.6428571428571429
252,41,0,45,21,5,18,1,3,799,7,1,266.33,23,0.45652173913043476
253,22,1,47,15,10,24,3,12,237,17,1,19.75,34,0.3125
254,45,1,14,20,1,13,1,3,828,11,0,276.0,14,1.3333333333333333
255,38,1,59,30,1,28,3,3,481,28,0,160.33,29,0.5
256,28,1,49,22,6,29,2,3,187,13,1,62.33,35,0.44
257,56,1,22,21,5,13,3,1,632,22,0,632.0,18,0.9130434782608695
258,42,0,17,14,6,22,2,12,207,10,1,17.25,28,0.7777777777777778
259,20,0,59,19,0,10,3,3,366,22,0,122.0,10,0.31666666666666665
260,62,1,52,1,4,22,2,1,153,26,1,153.0,26,0.018867924528301886
261,22,0,37,6,8,17,1,3,212,12,1,70.67,25,0.15789473684210525
262,30,0,46,18,4,13,2,3,300,21,0,100.0,17,0.3829787234042553
263,30,0,55,27,6,11,2,1,662,28,0,662.0,17,0.48214285714285715
264,44,1,21,18,4,27,1,3,388,12,0,129.33,31,0.8181818181818182
265,58,1,38,26,0,27,3,12,874,12,0,72.83,27,0.6666666666666666
266,59,1,41,18,6,18,2,12,971,12,1,80.92,24,0.42857142857142855
267,65,1,55,10,5,18,3,3,689,6,1,229.67,23,0.17857142857142858
268,30,0,42,15,8,8,3,1,280,20,0,280.0,16,0.3488372093023256
269,28,0,35,19,2,2,3,1,506,22,0,506.0,4,0.5277777777777778
270,58,1,39,16,0,8,1,1,690,17,0,690.0,8,0.4
271,63,0,56,28,1,17,1,3,821,7,0,273.67,18,0.49122807017543857
272,62,0,35,8,7,8,1,12,514,17,0,42.83,15,0.2222222222222222
273,32,0,47,20,0,8,3,1,885,9,0,885.0,8,0.4166666666666667
274,20,1,19,10,5,11,1,3,644,8,0,214.67,16,0.5
275,28,0,28,9,5,9,3,1,628,18,0,628.0,14,0.3103448275862069
276,19,1,54,27,6,30,2,3,131,20,1,43.67,36,0.4909090909090909
277,24,0,48,29,10,30,3,1,278,26,1,278.0,40,0.5918367346938775
278,43,1,28,4,10,9,3,12,280,15,0,23.33,19,0.13793103448275862
279,38,0,13,13,6,27,2,3,466,14,1,155.33,33,0.9285714285714286
280,52,0,26,28,3,6,2,3,953,5,0,317.67,9,1.037037037037037
281,25,1,4,14,5,16,3,12,465,17,0,38.75,21,2.8
282,37,1,10,22,2,3,3,12,292,6,0,24.33,5,2.0
283,56,1,35,15,4,18,2,1,940,1,0,940.0,22,0.4166666666666667
284,55,0,28,11,0,21,3,1,741,4,1,741.0,21,0.3793103448275862
285,41,0,14,18,10,15,1,12,380,7,0,31.67,25,1.2
286,61,1,46,5,2,3,3,12,501,21,0,41.75,5,0.10638297872340426
287,20,0,50,8,2,30,1,12,407,29,1,33.92,32,0.1568627450980392
288,40,1,5,1,3,21,2,12,101,12,1,8.42,24,0.16666666666666666
289,19,1,40,22,0,24,3,3,212,20,0,70.67,24,0.5365853658536586
290,44,1,34,30,4,28,2,3,654,26,0,218.0,32,0.8571428571428571
291,24,0,8,7,8,29,3,12,226,4,1,18.83,37,0.7777777777777778
292,28,0,1,4,6,1,3,12,337,6,0,28.08,7,2.0
293,41,1,35,8,3,28,2,12,163,8,0,13.58,31,0.2222222222222222
294,20,0,56,12,5,14,1,3,837,9,0,279.0,19,0.21052631578947367
295,52,1,33,27,0,19,1,1,719,18,0,719.0,19,0.7941176470588235
296,47,1,14,28,4,26,1,3,987,2,0,329.0,30,1.8666666666666667
297,47,0,23,6,1,17,1,12,300,27,0,25.0,18,0.25
298,18,0,50,10,6,27,2,1,487,18,1,487.0,33,0.19607843137254902
299,37,1,42,26,5,24,3,3,862,9,1,287.33,29,0.6046511627906976
300,36,1,38,14,4,7,1,12,863,7,0,71.92,11,0.358974358974359
301,48,0,35,26,3,5,3,3,415,20,0,138.33,8,0.7222222222222222
302,35,0,21,19,9,11,1,1,607,21,0,607.0,20,0.8636363636363636
303,52,0,9,2,5,3,3,1,592,24,1,592.0,8,0.2
304,58,0,42,24,8,3,2,12,256,17,0,21.33,11,0.5581395348837209
305,62,1,35,18,4,24,3,3,603,9,0,201.0,28,0.5
306,19,0,26,18,10,18,2,1,721,25,1,721.0,28,0.6666666666666666
307,41,0,49,27,0,5,2,1,329,8,0,329.0,5,0.54
308,46,1,12,26,9,3,1,1,173,29,0,173.0,12,2.0
309,29,1,24,30,1,7,2,12,101,30,0,8.42,8,1.2
310,24,1,56,23,3,30,2,3,123,14,0,41.0,33,0.40350877192982454
311,31,0,16,8,0,1,1,12,438,23,0,36.5,1,0.47058823529411764
312,49,1,41,5,10,4,1,12,532,27,0,44.33,14,0.11904761904761904
313,29,0,37,16,0,7,2,1,845,2,0,845.0,7,0.42105263157894735
314,24,0,42,17,7,8,1,12,210,29,0,17.5,15,0.3953488372093023
315,19,0,29,28,1,21,1,12,802,17,0,66.83,22,0.9333333333333333
316,55,1,20,18,5,4,3,3,305,26,0,101.67,9,0.8571428571428571
317,62,1,3,6,5,0,2,3,808,26,0,269.33,5,1.5
318,45,0,47,19,10,23,1,1,464,24,1,464.0,33,0.3958333333333333
319,31,1,52,7,10,19,3,3,197,3,1,65.67,29,0.1320754716981132
320,59,0,7,30,4,5,3,3,646,9,0,215.33,9,3.75
321,64,1,51,1,0,22,1,1,800,9,0,800.0,22,0.019230769230769232
322,51,0,57,21,3,11,3,1,471,11,0,471.0,14,0.3620689655172414
323,36,1,15,10,8,0,2,12,672,2,0,56.0,8,0.625
324,23,0,39,11,2,24,2,1,666,25,1,666.0,26,0.275
325,61,1,42,3,2,24,2,1,525,25,0,525.0,26,0.06976744186046512
326,25,0,32,1,0,5,2,12,404,27,0,33.67,5,0.030303030303030304
327,45,0,59,11,7,20,2,12,175,29,1,14.58,27,0.18333333333333332
328,58,0,60,5,8,17,3,12,951,13,1,79.25,25,0.08196721311475409
329,59,1,7,30,10,21,2,12,285,4,0,23.75,31,3.75
330,52,1,37,17,5,10,3,1,476,1,0,476.0,15,0.4473684210526316
331,34,0,57,9,8,10,2,1,603,25,0,603.0,18,0.15517241379310345
332,41,1,2,22,7,23,2,1,681,23,0,681.0,30,7.333333333333333
333,27,0,21,24,4,30,2,12,823,28,0,68.58,34,1.0909090909090908
334,26,1,54,26,8,27,1,12,525,30,1,43.75,35,0.4727272727272727
335,63,0,8,22,5,12,1,12,582,27,0,48.5,17,2.4444444444444446
336,53,1,46,5,5,4,3,1,977,2,1,977.0,9,0.10638297872340426
337,42,0,38,18,2,18,1,1,808,6,0,808.0,20,0.46153846153846156
338,55,1,56,30,8,10,2,3,550,17,0,183.33,18,0.5263157894736842
339,23,0,48,11,8,26,1,1,169,15,1,169.0,34,0.22448979591836735
340,36,0,51,21,6,16,3,1,278,27,1,278.0,22,0.40384615384615385
341,44,0,57,10,8,7,2,1,163,17,0,163.0,15,0.1724137931034483
342,45,1,16,14,3,9,1,1,474,14,0,474.0,12,0.8235294117647058
343,29,1,17,5,7,22,1,12,446,7,0,37.17,29,0.2777777777777778
344,47,0,37,20,8,16,3,1,641,2,1,641.0,24,0.5263157894736842
345,53,0,44,21,10,27,2,12,650,3,1,54.17,37,0.4666666666666667
346,24,0,3,8,4,8,3,3,647,21,0,215.67,12,2.0
347,61,0,4,29,6,6,3,12,428,8,0,35.67,12,5.8
348,22,1,59,23,1,6,3,1,707,12,0,707.0,7,0.38333333333333336
349,46,0,42,18,6,5,3,1,719,6,0,719.0,11,0.4186046511627907
350,55,0,29,3,8,4,1,3,918,9,1,306.0,12,0.1
351,28,1,16,15,2,28,2,3,704,23,0,234.67,30,0.8823529411764706
352,28,1,17,4,5,25,1,12,519,8,0,43.25,30,0.2222222222222222
353,28,0,34,28,9,8,2,3,672,27,0,224.0,17,0.8
354,30,1,40,30,7,14,1,1,296,25,0,296.0,21,0.7317073170731707
355,35,0,56,29,6,0,1,3,718,6,0,239.33,6,0.5087719298245614
356,28,1,2,8,7,16,1,12,141,8,0,11.75,23,2.6666666666666665
357,27,0,19,7,2,1,3,1,928,12,0,928.0,3,0.35
358,60,0,46,6,1,25,2,1,621,2,1,621.0,26,0.1276595744680851
359,22,1,60,11,2,12,3,1,736,1,0,736.0,14,0.18032786885245902
360,51,0,6,20,7,22,3,1,999,3,1,999.0,29,2.857142857142857
361,49,0,9,24,6,18,1,3,977,5,0,325.67,24,2.4
362,30,1,41,17,2,14,1,1,706,12,0,706.0,16,0.40476190476190477
363,43,1,33,26,6,0,3,3,593,26,0,197.67,6,0.7647058823529411
