,Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,MonthlyCharges
55,23,1,34,20,3,26,1,12,733,1,0,61.083333333333336
56,60,1,24,11,9,10,2,1,563,10,0,563.0
57,57,1,24,28,3,24,3,12,448,12,0,37.333333333333336
58,28,0,29,3,2,21,3,3,172,2,1,57.333333333333336
59,64,0,39,25,2,9,2,3,933,9,0,311.0
60,30,1,57,21,8,24,2,12,576,6,1,48.0
61,18,0,57,16,10,2,1,3,657,26,0,219.0
62,24,1,13,25,9,27,3,3,843,29,0,281.0
63,40,1,54,7,0,15,2,12,731,27,0,60.916666666666664
64,26,0,33,27,1,23,1,3,665,5,0,221.66666666666666
65,41,1,35,4,6,16,2,12,546,26,1,45.5
66,64,0,19,27,2,0,1,1,579,14,0,579.0
67,42,1,34,2,7,17,3,12,757,25,1,63.083333333333336
68,24,1,28,13,0,27,3,3,515,27,0,171.66666666666666
69,52,0,56,8,9,21,3,12,599,20,1,49.916666666666664
70,48,1,57,29,1,19,2,1,554,12,0,554.0
71,28,0,34,20,1,1,1,12,986,19,0,82.16666666666667
72,52,0,5,12,5,23,1,12,844,12,0,70.33333333333333
73,52,0,37,26,5,29,2,12,668,3,1,55.666666666666664
74,56,0,55,15,10,3,2,12,867,26,0,72.25
75,64,1,48,9,7,26,3,12,471,11,1,39.25
76,41,1,59,30,5,26,1,12,628,11,1,52.333333333333336
77,48,0,47,12,0,29,1,1,761,8,1,761.0
78,22,1,39,10,3,29,2,1,599,13,0,599.0
79,42,0,19,25,5,13,3,1,372,8,0,372.0
80,55,0,54,26,0,9,3,12,213,13,0,17.75
81,43,0,6,16,6,21,1,1,996,17,1,996.0
82,34,1,26,22,8,9,3,1,403,3,0,403.0
83,27,1,42,22,3,27,1,1,468,25,0,468.0
84,19,0,59,24,3,26,1,3,368,8,1,122.66666666666667
85,58,1,59,10,5,8,1,1,599,25,0,599.0
86,22,0,39,9,2,13,1,3,759,1,0,253.0
87,22,1,25,10,10,17,3,1,966,7,1,966.0
88,61,0,28,9,6,5,2,1,784,7,0,784.0
89,28,1,17,19,10,12,3,3,332,24,0,110.66666666666667
90,33,1,36,18,0,24,3,12,364,1,0,30.333333333333332
91,37,0,57,21,6,6,3,3,209,29,0,69.66666666666667
92,65,0,6,21,1,2,3,3,428,29,0,142.66666666666666
93,22,1,51,27,9,23,2,12,347,11,1,28.916666666666668
94,42,1,37,14,0,24,3,12,418,13,0,34.833333333333336
95,36,0,42,18,8,6,3,3,322,10,0,107.33333333333333
96,20,1,32,7,5,14,1,12,920,28,0,76.66666666666667
97,58,1,21,28,10,2,1,12,894,28,0,74.5
98,65,1,21,3,5,20,2,3,570,1,1,190.0
99,40,1,6,26,10,0,1,12,632,5,0,52.666666666666664
100,52,0,45,20,6,28,2,1,442,10,1,442.0
101,35,1,47,23,4,8,2,12,969,7,0,80.75
102,62,0,16,13,9,15,2,3,719,19,0,239.66666666666666
103,41,1,20,27,4,13,1,1,941,18,0,941.0
104,36,1,10,22,9,0,2,3,218,7,0,72.66666666666667
105,39,1,59,29,5,7,1,12,225,27,0,18.75
106,62,1,10,9,1,18,2,3,345,27,0,115.0
107,55,1,22,15,1,19,2,3,769,30,0,256.3333333333333
108,44,0,54,20,1,9,1,3,717,9,0,239.0
109,39,0,7,30,3,5,1,1,199,13,0,199.0
110,30,1,57,20,8,26,3,1,821,8,1,821.0
111,41,1,8,11,9,24,3,1,900,14,0,900.0
112,56,1,56,3,3,12,2,1,175,11,0,175.0
113,24,1,10,3,8,13,1,12,317,3,0,26.416666666666668
114,28,0,43,30,7,5,1,1,600,11,0,600.0
115,46,0,43,10,0,10,1,3,779,23,0,259.6666666666667
116,18,1,36,18,7,14,2,1,635,19,0,635.0
117,34,1,28,7,8,7,3,1,524,1,0,524.0
118,39,1,13,27,6,21,1,3,382,16,0,127.33333333333333
119,32,0,3,12,8,8,1,3,990,21,0,330.0
120,35,0,47,2,8,21,1,1,532,7,1,532.0
121,40,1,28,4,0,21,1,12,377,7,0,31.416666666666668
122,44,1,13,26,3,3,1,1,486,25,0,486.0
123,52,0,50,10,2,26,1,3,640,3,0,213.33333333333334
124,40,0,35,15,6,20,1,12,104,27,1,8.666666666666666
125,41,1,58,27,1,3,3,12,392,3,0,32.666666666666664
126,30,0,23,29,1,22,2,12,255,24,1,21.25
127,64,0,36,17,4,15,2,1,237,5,0,237.0
128,43,0,52,13,10,14,2,3,555,11,0,185.0
129,31,0,36,23,2,5,3,12,444,2,0,37.0
130,61,1,6,15,2,30,3,12,630,18,0,52.5
131,56,0,33,7,0,22,3,1,664,27,1,664.0
132,57,1,37,15,4,10,1,1,186,9,0,186.0
133,41,0,59,20,0,17,2,3,978,11,0,326.0
134,46,1,47,14,10,16,1,12,996,16,1,83.0
135,65,0,26,17,10,25,1,12,254,1,1,21.166666666666668
136,25,1,27,15,2,15,1,3,123,19,0,41.0
137,43,1,37,11,3,23,2,12,377,9,0,31.416666666666668
138,65,1,13,4,3,12,1,1,921,3,0,921.0
139,25,0,58,7,5,9,1,12,920,22,0,76.66666666666667
140,45,1,56,29,0,24,2,12,335,18,0,27.916666666666668
141,20,1,59,10,5,5,3,3,803,15,0,267.6666666666667
142,38,1,10,9,1,30,3,12,888,28,0,74.0
143,43,0,16,20,10,26,1,12,712,2,0,59.333333333333336
144,24,1,8,12,9,15,1,12,257,18,0,21.416666666666668
145,56,0,2,20,6,17,1,3,355,12,0,118.33333333333333
146,61,1,58,24,9,5,3,1,201,20,0,201.0
147,38,0,16,13,2,28,3,12,133,24,1,11.083333333333334
148,39,1,24,6,5,28,3,3,910,22,1,303.3333333333333
149,29,1,42,8,8,21,3,3,419,27,1,139.66666666666666
150,31,1,20,12,1,7,3,12,115,7,0,9.583333333333334
151,25,1,22,5,5,29,1,1,121,20,0,121.0
152,62,1,22,30,9,21,1,12,736,24,0,61.333333333333336
153,64,1,13,16,10,18,2,12,934,11,0,77.83333333333333
154,57,0,7,27,7,23,2,12,640,1,0,53.333333333333336
155,48,1,41,25,10,1,2,12,119,13,0,9.916666666666666
156,21,1,3,8,5,15,3,3,994,25,0,331.3333333333333
157,26,0,16,10,0,14,2,12,411,19,0,34.25
158,63,1,36,21,8,0,3,12,817,22,0,68.08333333333333
159,28,1,14,5,3,4,3,1,200,7,0,200.0
160,36,1,51,1,0,7,3,12,837,16,0,69.75
161,31,1,34,23,5,12,2,3,164,2,0,54.666666666666664
162,64,0,46,2,1,12,1,3,413,12,0,137.66666666666666
163,49,0,53,16,5,3,2,12,423,15,0,35.25
164,58,0,54,18,1,29,3,3,235,29,1,78.33333333333333
165,51,1,6,22,7,23,3,3,862,3,0,287.3333333333333
166,62,0,10,11,5,1,2,3,775,6,0,258.3333333333333
167,41,0,55,17,10,12,3,1,259,22,0,259.0
168,22,0,59,9,4,9,1,1,581,4,0,581.0
169,56,1,52,27,5,13,2,12,796,25,0,66.33333333333333
170,59,0,20,8,10,3,2,12,317,20,0,26.416666666666668
171,51,0,6,1,9,18,2,3,354,12,1,118.0
172,57,1,5,13,7,3,1,3,821,16,0,273.6666666666667
173,56,0,36,4,4,21,3,3,946,30,1,315.3333333333333
174,23,1,42,23,6,24,2,1,838,6,1,838.0
175,33,0,52,26,0,10,2,3,136,4,0,45.333333333333336
176,29,1,31,30,8,24,3,3,150,11,1,50.0
177,49,1,40,11,4,17,3,1,546,7,0,546.0
178,25,0,28,8,4,23,3,1,716,1,1,716.0
179,37,1,1,7,4,22,2,12,699,15,0,58.25
180,45,1,40,10,10,28,3,12,912,8,1,76.0
181,53,1,13,11,9,14,1,12,350,9,0,29.166666666666668
182,33,0,60,24,10,18,3,1,423,24,1,423.0
183,20,1,5,22,8,0,3,1,973,25,0,973.0
184,62,1,26,18,1,16,2,12,683,12,0,56.916666666666664
185,37,1,55,8,8,4,2,1,561,16,0,561.0
186,51,1,38,21,4,5,1,3,203,26,0,67.66666666666667
187,21,0,41,13,8,22,3,1,538,18,1,538.0
188,64,1,60,25,5,8,3,12,720,24,0,60.0
189,41,1,50,15,6,1,2,12,588,10,0,49.0
190,44,1,44,30,0,26,2,1,656,6,0,656.0
191,20,1,4,26,8,12,2,12,733,4,0,61.083333333333336
192,18,1,28,12,3,20,2,1,261,13,0,261.0
193,41,0,58,24,9,16,2,12,447,20,1,37.25
194,50,1,46,2,4,28,3,12,527,19,0,43.916666666666664
195,59,1,41,29,3,1,1,3,833,5,0,277.6666666666667
196,39,1,29,25,4,2,2,3,254,20,0,84.66666666666667
197,19,1,17,11,6,24,2,3,715,15,0,238.33333333333334
198,29,0,56,21,3,26,1,3,239,29,1,79.66666666666667
199,45,0,20,1,4,15,2,1,224,13,0,224.0
200,36,1,24,29,1,26,3,1,566,8,0,566.0
201,20,0,9,27,5,16,2,12,295,21,0,24.583333333333332
202,30,0,44,22,4,18,2,3,890,12,0,296.6666666666667
203,33,1,5,25,1,26,2,12,821,27,0,68.41666666666667
204,27,1,29,30,4,3,1,12,258,18,0,21.5
205,36,0,26,7,2,3,1,12,371,8,0,30.916666666666668
206,33,1,35,29,9,18,1,1,335,8,1,335.0
207,18,1,33,18,1,22,1,12,312,29,0,26.0
208,64,1,13,20,0,22,2,3,749,14,0,249.66666666666666
209,48,1,36,19,1,13,3,12,140,28,0,11.666666666666666
210,57,0,15,4,5,30,2,3,960,21,1,320.0
211,28,0,22,5,1,2,3,3,838,10,0,279.3333333333333
212,28,1,56,7,2,25,1,1,854,26,0,854.0
213,22,0,45,29,8,7,2,1,344,17,0,344.0
214,56,1,11,10,10,10,1,12,841,26,0,70.08333333333333
215,23,0,31,15,6,11,1,3,705,24,0,235.0
216,59,1,44,7,8,9,2,12,890,26,0,74.16666666666667
217,46,1,27,25,6,8,1,1,150,28,0,150.0
218,56,1,8,11,10,12,3,3,866,15,0,288.6666666666667
219,37,0,25,19,8,26,2,1,212,13,1,212.0
220,36,1,46,5,2,11,3,3,524,6,0,174.66666666666666
221,59,1,36,16,4,26,2,12,894,29,0,74.5
222,56,0,15,19,3,2,2,3,650,3,0,216.66666666666666
223,51,0,32,20,2,24,2,3,505,21,0,168.33333333333334
224,38,0,29,18,4,16,2,12,909,24,0,75.75
225,20,1,60,29,7,22,2,3,298,23,1,99.33333333333333
226,60,0,16,24,6,21,1,1,725,14,1,725.0
227,49,1,59,9,2,18,3,12,733,18,0,61.083333333333336
228,20,0,55,25,1,26,3,3,382,8,1,127.33333333333333
229,58,0,29,20,0,20,2,3,126,9,0,42.0
230,27,1,50,1,10,30,2,12,736,4,1,61.333333333333336
231,20,0,29,5,4,17,1,12,584,26,0,48.666666666666664
232,63,1,46,2,4,9,1,3,969,30,1,323.0
233,47,0,33,5,4,23,3,3,393,14,1,131.0
234,63,1,18,15,3,27,3,12,722,26,0,60.166666666666664
235,62,1,51,9,2,0,3,1,654,16,0,654.0
236,46,0,35,29,8,5,2,1,805,2,0,805.0
237,49,0,33,23,3,21,3,12,230,23,1,19.166666666666668
238,46,0,52,26,5,27,1,1,403,14,1,403.0
239,64,0,11,7,1,8,1,12,984,14,0,82.0
240,60,1,13,17,7,19,1,1,849,26,0,849.0
241,54,1,44,24,1,16,3,12,664,3,0,55.333333333333336
242,47,0,52,3,6,1,3,3,408,7,0,136.0
243,37,1,55,28,4,26,1,1,826,17,0,826.0
244,19,0,1,13,6,9,1,1,302,3,0,302.0
245,52,0,33,14,8,2,2,3,846,11,0,282.0
246,62,1,5,18,6,14,2,12,205,22,0,17.083333333333332
247,48,1,54,15,7,18,2,3,131,11,1,43.666666666666664
248,60,1,18,27,1,30,2,12,426,30,0,35.5
249,58,1,15,2,1,13,3,12,309,23,0,25.75
250,43,1,31,8,7,28,3,1,313,10,1,313.0
251,26,1,41,27,8,15,3,1,889,6,0,889.0
252,41,0,45,21,5,18,1,3,799,7,1,266.3333333333333
253,22,1,47,15,10,24,3,12,237,17,1,19.75
254,45,1,14,20,1,13,1,3,828,11,0,276.0
255,38,1,59,30,1,28,3,3,481,28,0,160.33333333333334
256,28,1,49,22,6,29,2,3,187,13,1,62.333333333333336
257,56,1,22,21,5,13,3,1,632,22,0,632.0
258,42,0,17,14,6,22,2,12,207,10,1,17.25
259,20,0,59,19,0,10,3,3,366,22,0,122.0
260,62,1,52,1,4,22,2,1,153,26,1,153.0
261,22,0,37,6,8,17,1,3,212,12,1,70.66666666666667
262,30,0,46,18,4,13,2,3,300,21,0,100.0
263,30,0,55,27,6,11,2,1,662,28,0,662.0
264,44,1,21,18,4,27,1,3,388,12,0,129.33333333333334
265,58,1,38,26,0,27,3,12,874,12,0,72.83333333333333
266,59,1,41,18,6,18,2,12,971,12,1,80.91666666666667
267,65,1,55,10,5,18,3,3,689,6,1,229.66666666666666
268,30,0,42,15,8,8,3,1,280,20,0,280.0
269,28,0,35,19,2,2,3,1,506,22,0,506.0
270,58,1,39,16,0,8,1,1,690,17,0,690.0
271,63,0,56,28,1,17,1,3,821,7,0,273.6666666666667
272,62,0,35,8,7,8,1,12,514,17,0,42.833333333333336
273,32,0,47,20,0,8,3,1,885,9,0,885.0
274,20,1,19,10,5,11,1,3,644,8,0,214.66666666666666
275,28,0,28,9,5,9,3,1,628,18,0,628.0
276,19,1,54,27,6,30,2,3,131,20,1,43.666666666666664
277,24,0,48,29,10,30,3,1,278,26,1,278.0
278,43,1,28,4,10,9,3,12,280,15,0,23.333333333333332
279,38,0,13,13,6,27,2,3,466,14,1,155.33333333333334
280,52,0,26,28,3,6,2,3,953,5,0,317.6666666666667
281,25,1,4,14,5,16,3,12,465,17,0,38.75
282,37,1,10,22,2,3,3,12,292,6,0,24.333333333333332
283,56,1,35,15,4,18,2,1,940,1,0,940.0
284,55,0,28,11,0,21,3,1,741,4,1,741.0
285,41,0,14,18,10,15,1,12,380,7,0,31.666666666666668
286,61,1,46,5,2,3,3,12,501,21,0,41.75
287,20,0,50,8,2,30,1,12,407,29,1,33.916666666666664
288,40,1,5,1,3,21,2,12,101,12,1,8.416666666666666
289,19,1,40,22,0,24,3,3,212,20,0,70.66666666666667
290,44,1,34,30,4,28,2,3,654,26,0,218.0
291,24,0,8,7,8,29,3,12,226,4,1,18.833333333333332
292,28,0,1,4,6,1,3,12,337,6,0,28.083333333333332
293,41,1,35,8,3,28,2,12,163,8,0,13.583333333333334
294,20,0,56,12,5,14,1,3,837,9,0,279.0
295,52,1,33,27,0,19,1,1,719,18,0,719.0
296,47,1,14,28,4,26,1,3,987,2,0,329.0
297,47,0,23,6,1,17,1,12,300,27,0,25.0
298,18,0,50,10,6,27,2,1,487,18,1,487.0
299,37,1,42,26,5,24,3,3,862,9,1,287.3333333333333
300,36,1,38,14,4,7,1,12,863,7,0,71.91666666666667
301,48,0,35,26,3,5,3,3,415,20,0,138.33333333333334
302,35,0,21,19,9,11,1,1,607,21,0,607.0
303,52,0,9,2,5,3,3,1,592,24,1,592.0
304,58,0,42,24,8,3,2,12,256,17,0,21.333333333333332
305,62,1,35,18,4,24,3,3,603,9,0,201.0
306,19,0,26,18,10,18,2,1,721,25,1,721.0
307,41,0,49,27,0,5,2,1,329,8,0,329.0
308,46,1,12,26,9,3,1,1,173,29,0,173.0
309,29,1,24,30,1,7,2,12,101,30,0,8.416666666666666
310,24,1,56,23,3,30,2,3,123,14,0,41.0
311,31,0,16,8,0,1,1,12,438,23,0,36.5
312,49,1,41,5,10,4,1,12,532,27,0,44.333333333333336
313,29,0,37,16,0,7,2,1,845,2,0,845.0
314,24,0,42,17,7,8,1,12,210,29,0,17.5
315,19,0,29,28,1,21,1,12,802,17,0,66.83333333333333
316,55,1,20,18,5,4,3,3,305,26,0,101.66666666666667
317,62,1,3,6,5,0,2,3,808,26,0,269.3333333333333
318,45,0,47,19,10,23,1,1,464,24,1,464.0
319,31,1,52,7,10,19,3,3,197,3,1,65.66666666666667
320,59,0,7,30,4,5,3,3,646,9,0,215.33333333333334
321,64,1,51,1,0,22,1,1,800,9,0,800.0
322,51,0,57,21,3,11,3,1,471,11,0,471.0
323,36,1,15,10,8,0,2,12,672,2,0,56.0
324,23,0,39,11,2,24,2,1,666,25,1,666.0
325,61,1,42,3,2,24,2,1,525,25,0,525.0
326,25,0,32,1,0,5,2,12,404,27,0,33.666666666666664
327,45,0,59,11,7,20,2,12,175,29,1,14.583333333333334
328,58,0,60,5,8,17,3,12,951,13,1,79.25
329,59,1,7,30,10,21,2,12,285,4,0,23.75
330,52,1,37,17,5,10,3,1,476,1,0,476.0
331,34,0,57,9,8,10,2,1,603,25,0,603.0
332,41,1,2,22,7,23,2,1,681,23,0,681.0
333,27,0,21,24,4,30,2,12,823,28,0,68.58333333333333
334,26,1,54,26,8,27,1,12,525,30,1,43.75
335,63,0,8,22,5,12,1,12,582,27,0,48.5
336,53,1,46,5,5,4,3,1,977,2,1,977.0
337,42,0,38,18,2,18,1,1,808,6,0,808.0
338,55,1,56,30,8,10,2,3,550,17,0,183.33333333333334
339,23,0,48,11,8,26,1,1,169,15,1,169.0
340,36,0,51,21,6,16,3,1,278,27,1,278.0
341,44,0,57,10,8,7,2,1,163,17,0,163.0
342,45,1,16,14,3,9,1,1,474,14,0,474.0
343,29,1,17,5,7,22,1,12,446,7,0,37.166666666666664
344,47,0,37,20,8,16,3,1,641,2,1,641.0
345,53,0,44,21,10,27,2,12,650,3,1,54.166666666666664
346,24,0,3,8,4,8,3,3,647,21,0,215.66666666666666
347,61,0,4,29,6,6,3,12,428,8,0,35.666666666666664
348,22,1,59,23,1,6,3,1,707,12,0,707.0
349,46,0,42,18,6,5,3,1,719,6,0,719.0
350,55,0,29,3,8,4,1,3,918,9,1,306.0
351,28,1,16,15,2,28,2,3,704,23,0,234.66666666666666
352,28,1,17,4,5,25,1,12,519,8,0,43.25
353,28,0,34,28,9,8,2,3,672,27,0,224.0
354,30,1,40,30,7,14,1,1,296,25,0,296.0
355,35,0,56,29,6,0,1,3,718,6,0,239.33333333333334
356,28,1,2,8,7,16,1,12,141,8,0,11.75
357,27,0,19,7,2,1,3,1,928,12,0,928.0
358,60,0,46,6,1,25,2,1,621,2,1,621.0
359,22,1,60,11,2,12,3,1,736,1,0,736.0
360,51,0,6,20,7,22,3,1,999,3,1,999.0
361,49,0,9,24,6,18,1,3,977,5,0,325.6666666666667
362,30,1,41,17,2,14,1,1,706,12,0,706.0
363,43,1,33,26,6,0,3,3,593,26,0,197.66666666666666
364,57,0,41,7,3,25,3,3,130,18,1,43.333333333333336
365,56,0,30,24,7,10,2,1,862,7,0,862.0
366,62,0,47,8,10,7,1,12,107,9,0,8.916666666666666
367,29,1,1,1,2,1,3,3,431,8,0,143.66666666666666
368,50,0,41,11,7,10,2,1,503,24,0,503.0
369,54,0,30,6,1,24,2,1,721,16,1,721.0
370,55,0,39,30,6,1,1,12,795,2,0,66.25
371,30,0,37,28,5,17,3,12,124,19,1,10.333333333333334
372,53,0,45,25,1,11,2,1,420,18,0,420.0
373,62,1,14,5,0,8,2,3,197,5,0,65.66666666666667
374,57,0,35,15,1,17,3,3,632,19,0,210.66666666666666
375,25,0,46,30,7,22,3,3,982,18,1,327.3333333333333
376,34,1,17,23,9,28,2,3,421,16,0,140.33333333333334
377,59,0,1,11,5,23,1,3,687,9,0,229.0
378,35,1,2,25,3,23,1,1,899,29,0,899.0
379,24,1,13,8,5,1,3,3,686,15,0,228.66666666666666
380,21,0,45,5,2,10,1,12,288,11,0,24.0
381,50,0,40,7,2,23,1,12,928,27,0,77.33333333333333
382,53,1,10,17,4,25,3,12,321,12,0,26.75
383,27,1,39,18,1,11,1,12,651,27,0,54.25
384,23,1,20,14,3,22,3,12,924,20,0,77.0
385,41,0,41,15,10,27,3,3,814,19,1,271.3333333333333
386,54,1,41,21,2,17,2,1,420,21,0,420.0
387,57,0,55,12,4,26,1,1,265,8,1,265.0
388,46,1,37,21,9,6,1,1,425,21,0,425.0
389,52,0,33,27,0,1,2,1,808,10,0,808.0
390,24,1,32,28,5,9,3,1,218,2,0,218.0
391,45,1,3,6,1,17,2,12,418,10,0,34.833333333333336
392,47,0,12,18,1,13,3,12,872,24,0,72.66666666666667
393,24,0,14,11,9,6,1,3,693,27,0,231.0
394,65,1,45,2,3,16,2,12,738,1,0,61.5
395,32,1,52,5,10,7,3,12,839,10,0,69.91666666666667
396,39,0,36,30,7,5,2,3,149,4,0,49.666666666666664
397,36,0,28,24,2,24,3,3,136,1,1,45.333333333333336
398,57,1,57,7,5,26,3,12,699,26,1,58.25
399,26,1,19,17,7,23,3,3,870,2,0,290.0
400,54,1,38,24,3,13,1,12,619,5,0,51.583333333333336
401,54,0,46,6,2,15,1,1,959,4,0,959.0
402,60,0,12,5,1,17,1,12,826,7,0,68.83333333333333
403,45,0,16,3,0,8,1,1,763,24,0,763.0
404,21,1,1,30,4,4,3,12,642,21,0,53.5
405,65,1,27,17,3,23,3,12,328,23,0,27.333333333333332
406,21,0,41,24,5,10,1,12,524,13,0,43.666666666666664
407,63,0,60,30,0,7,3,12,494,19,0,41.166666666666664
408,40,0,49,5,6,21,2,1,292,14,1,292.0
409,31,0,9,11,4,19,3,12,999,2,0,83.25
410,44,1,45,26,3,1,2,12,927,9,0,77.25
411,33,0,51,1,5,9,2,3,415,3,0,138.33333333333334
412,52,0,56,10,4,5,2,3,444,9,0,148.0
413,25,0,25,30,6,3,3,12,425,29,0,35.416666666666664
414,33,0,16,4,5,21,3,12,233,21,1,19.416666666666668
415,18,1,21,10,7,20,1,1,968,18,0,968.0
416,63,0,11,8,1,20,2,12,534,27,0,44.5
417,34,1,58,29,0,13,3,3,238,29,0,79.33333333333333
418,31,1,34,1,9,24,3,12,190,16,1,15.833333333333334
419,28,0,43,23,0,9,2,12,421,13,0,35.083333333333336
420,44,1,29,27,6,2,2,1,653,8,0,653.0
421,30,0,30,4,3,8,1,3,536,27,0,178.66666666666666
422,43,1,31,3,2,20,1,12,406,13,0,33.833333333333336
423,36,1,24,22,5,25,2,12,665,20,1,55.416666666666664
424,18,1,8,3,7,20,3,3,412,26,0,137.33333333333334
425,46,0,43,3,6,19,1,1,165,23,1,165.0
426,54,1,18,4,1,22,1,1,272,29,0,272.0
427,42,0,52,5,6,30,2,3,271,29,1,90.33333333333333
428,39,0,12,28,0,1,2,1,233,27,0,233.0
429,36,0,36,24,2,13,2,3,535,1,0,178.33333333333334
430,19,0,58,15,9,17,1,1,317,2,1,317.0
431,50,1,36,28,7,0,3,12,775,11,0,64.58333333333333
432,58,0,9,19,4,26,1,12,805,21,0,67.08333333333333
433,43,0,29,24,6,4,3,3,675,21,0,225.0
434,29,0,33,2,7,13,3,3,190,9,0,63.333333333333336
435,20,1,58,2,5,2,1,3,524,4,0,174.66666666666666
436,57,0,34,1,5,20,3,1,790,10,1,790.0
437,25,1,47,28,0,22,3,1,548,1,0,548.0
438,63,1,23,13,3,19,3,1,966,19,0,966.0
439,42,1,25,6,4,6,1,1,590,2,0,590.0
440,47,1,1,21,10,21,1,3,271,21,0,90.33333333333333
441,50,1,7,15,10,6,1,3,921,14,0,307.0
442,23,1,7,27,8,18,2,12,776,16,0,64.66666666666667
443,37,1,9,10,7,28,1,12,383,5,0,31.916666666666668
444,18,0,1,21,8,17,2,12,360,28,0,30.0
445,64,1,45,26,2,20,3,3,676,11,0,225.33333333333334
446,20,0,6,21,8,26,3,12,948,3,0,79.0
447,22,1,33,5,1,0,3,3,982,13,0,327.3333333333333
448,59,0,44,6,10,26,2,1,291,15,1,291.0
449,27,0,21,4,10,21,2,12,900,4,0,75.0
450,24,0,27,15,2,6,2,3,907,9,0,302.3333333333333
451,29,1,49,25,10,24,3,1,865,23,1,865.0
452,53,1,30,24,4,24,3,3,346,29,0,115.33333333333333
453,38,1,31,9,3,5,2,1,158,10,0,158.0
454,44,0,1,25,6,2,3,1,474,2,0,474.0
455,51,0,2,24,4,28,2,3,846,28,0,282.0
456,30,1,53,7,9,20,2,12,307,8,1,25.583333333333332
457,22,1,52,9,5,8,3,12,788,19,0,65.66666666666667
458,33,0,55,15,8,30,1,12,611,16,1,50.916666666666664
459,24,0,1,16,10,11,1,1,583,20,0,583.0
460,46,1,30,29,5,10,3,12,447,30,0,37.25
461,55,1,1,9,9,17,3,12,337,30,0,28.083333333333332
462,30,1,58,5,7,22,3,3,848,6,1,282.6666666666667
463,30,1,35,25,1,26,1,1,228,15,0,228.0
