Age,Gender,Tenure,Usage Frequency,Support Calls,Payment Delay,Subscription Type,Contract Length,Total Spend,Last Interaction,Churn,MonthlyCharges
29,0,28,23,7,16,1,3,1000,26,1,333.33
36,1,45,24,5,2,3,3,405,4,0,135
61,1,19,2,7,2,3,1,879,4,1,879
57,1,2,26,5,14,3,1,771,4,0,771
56,1,9,16,1,22,3,1,600,17,0,600
42,0,14,14,8,12,1,1,825,19,0,825
36,0,24,21,8,29,1,1,231,8,1,231
37,1,13,26,2,26,1,3,259,15,0,86.33
51,0,15,26,10,25,1,3,244,1,1,81.33
57,0,46,30,2,21,2,12,705,5,0,58.75
47,0,47,4,7,3,2,1,136,14,0,136
29,1,3,5,0,23,2,1,843,6,0,843
45,0,17,4,5,23,2,12,402,8,1,33.5
18,0,22,21,3,30,3,12,919,3,0,76.58
27,1,57,4,10,20,3,12,699,4,1,58.25
23,1,34,20,3,26,1,12,733,1,0,61.08
60,1,24,11,9,10,2,1,563,10,0,563
57,1,24,28,3,24,3,12,448,12,0,37.33
28,0,29,3,2,21,3,3,172,2,1,57.33
64,0,39,25,2,9,2,3,933,9,0,311
30,1,57,21,8,24,2,12,576,6,1,48
18,0,57,16,10,2,1,3,657,26,0,219
24,1,13,25,9,27,3,3,843,29,0,281
40,1,54,7,0,15,2,12,731,27,0,60.92
26,0,33,27,1,23,1,3,665,5,0,221.67
41,1,35,4,6,16,2,12,546,26,1,45.5
64,0,19,27,2,0,1,1,579,14,0,579
42,1,34,2,7,17,3,12,757,25,1,63.08
24,1,28,13,0,27,3,3,515,27,0,171.67
52,0,56,8,9,21,3,12,599,20,1,49.92
48,1,57,29,1,19,2,1,554,12,0,554
28,0,34,20,1,1,1,12,986,19,0,82.17
52,0,5,12,5,23,1,12,844,12,0,70.33
52,0,37,26,5,29,2,12,668,3,1,55.67
56,0,55,15,10,3,2,12,867,26,0,72.25
64,1,48,9,7,26,3,12,471,11,1,39.25
41,1,59,30,5,26,1,12,628,11,1,52.33
48,0,47,12,0,29,1,1,761,8,1,761
22,1,39,10,3,29,2,1,599,13,0,599
42,0,19,25,5,13,3,1,372,8,0,372
55,0,54,26,0,9,3,12,213,13,0,17.75
43,0,6,16,6,21,1,1,996,17,1,996
34,1,26,22,8,9,3,1,403,3,0,403
27,1,42,22,3,27,1,1,468,25,0,468
19,0,59,24,3,26,1,3,368,8,1,122.67
58,1,59,10,5,8,1,1,599,25,0,599
22,0,39,9,2,13,1,3,759,1,0,253
22,1,25,10,10,17,3,1,966,7,1,966
61,0,28,9,6,5,2,1,784,7,0,784
28,1,17,19,10,12,3,3,332,24,0,110.67
33,1,36,18,0,24,3,12,364,1,0,30.33
37,0,57,21,6,6,3,3,209,29,0,69.67
65,0,6,21,1,2,3,3,428,29,0,142.67
22,1,51,27,9,23,2,12,347,11,1,28.92
42,1,37,14,0,24,3,12,418,13,0,34.83
36,0,42,18,8,6,3,3,322,10,0,107.33
20,1,32,7,5,14,1,12,920,28,0,76.67
58,1,21,28,10,2,1,12,894,28,0,74.5
65,1,21,3,5,20,2,3,570,1,1,190
40,1,6,26,10,0,1,12,632,5,0,52.67
52,0,45,20,6,28,2,1,442,10,1,442
35,1,47,23,4,8,2,12,969,7,0,80.75
62,0,16,13,9,15,2,3,719,19,0,239.67
41,1,20,27,4,13,1,1,941,18,0,941
36,1,10,22,9,0,2,3,218,7,0,72.67
39,1,59,29,5,7,1,12,225,27,0,18.75
62,1,10,9,1,18,2,3,345,27,0,115
55,1,22,15,1,19,2,3,769,30,0,256.33
44,0,54,20,1,9,1,3,717,9,0,239
39,0,7,30,3,5,1,1,199,13,0,199
30,1,57,20,8,26,3,1,821,8,1,821
41,1,8,11,9,24,3,1,900,14,0,900
56,1,56,3,3,12,2,1,175,11,0,175
24,1,10,3,8,13,1,12,317,3,0,26.42
28,0,43,30,7,5,1,1,600,11,0,600
46,0,43,10,0,10,1,3,779,23,0,259.67
18,1,36,18,7,14,2,1,635,19,0,635
34,1,28,7,8,7,3,1,524,1,0,524
39,1,13,27,6,21,1,3,382,16,0,127.33
32,0,3,12,8,8,1,3,990,21,0,330
35,0,47,2,8,21,1,1,532,7,1,532
40,1,28,4,0,21,1,12,377,7,0,31.42
44,1,13,26,3,3,1,1,486,25,0,486
52,0,50,10,2,26,1,3,640,3,0,213.33
40,0,35,15,6,20,1,12,104,27,1,8.67
41,1,58,27,1,3,3,12,392,3,0,32.67
30,0,23,29,1,22,2,12,255,24,1,21.25
64,0,36,17,4,15,2,1,237,5,0,237
43,0,52,13,10,14,2,3,555,11,0,185
31,0,36,23,2,5,3,12,444,2,0,37
61,1,6,15,2,30,3,12,630,18,0,52.5
56,0,33,7,0,22,3,1,664,27,1,664
57,1,37,15,4,10,1,1,186,9,0,186
41,0,59,20,0,17,2,3,978,11,0,326
46,1,47,14,10,16,1,12,996,16,1,83
65,0,26,17,10,25,1,12,254,1,1,21.17
25,1,27,15,2,15,1,3,123,19,0,41
43,1,37,11,3,23,2,12,377,9,0,31.42
65,1,13,4,3,12,1,1,921,3,0,921
25,0,58,7,5,9,1,12,920,22,0,76.67
45,1,56,29,0,24,2,12,335,18,0,27.92
20,1,59,10,5,5,3,3,803,15,0,267.67
38,1,10,9,1,30,3,12,888,28,0,74
43,0,16,20,10,26,1,12,712,2,0,59.33
24,1,8,12,9,15,1,12,257,18,0,21.42
56,0,2,20,6,17,1,3,355,12,0,118.33
61,1,58,24,9,5,3,1,201,20,0,201
38,0,16,13,2,28,3,12,133,24,1,11.08
39,1,24,6,5,28,3,3,910,22,1,303.33
29,1,42,8,8,21,3,3,419,27,1,139.67
31,1,20,12,1,7,3,12,115,7,0,9.58
25,1,22,5,5,29,1,1,121,20,0,121
62,1,22,30,9,21,1,12,736,24,0,61.33
64,1,13,16,10,18,2,12,934,11,0,77.83
57,0,7,27,7,23,2,12,640,1,0,53.33
48,1,41,25,10,1,2,12,119,13,0,9.92
21,1,3,8,5,15,3,3,994,25,0,331.33
26,0,16,10,0,14,2,12,411,19,0,34.25
63,1,36,21,8,0,3,12,817,22,0,68.08
28,1,14,5,3,4,3,1,200,7,0,200
36,1,51,1,0,7,3,12,837,16,0,69.75
31,1,34,23,5,12,2,3,164,2,0,54.67
64,0,46,2,1,12,1,3,413,12,0,137.67
49,0,53,16,5,3,2,12,423,15,0,35.25
58,0,54,18,1,29,3,3,235,29,1,78.33
51,1,6,22,7,23,3,3,862,3,0,287.33
62,0,10,11,5,1,2,3,775,6,0,258.33
41,0,55,17,10,12,3,1,259,22,0,259
22,0,59,9,4,9,1,1,581,4,0,581
56,1,52,27,5,13,2,12,796,25,0,66.33
59,0,20,8,10,3,2,12,317,20,0,26.42
51,0,6,1,9,18,2,3,354,12,1,118
57,1,5,13,7,3,1,3,821,16,0,273.67
56,0,36,4,4,21,3,3,946,30,1,315.33
23,1,42,23,6,24,2,1,838,6,1,838
33,0,52,26,0,10,2,3,136,4,0,45.33
29,1,31,30,8,24,3,3,150,11,1,50
49,1,40,11,4,17,3,1,546,7,0,546
25,0,28,8,4,23,3,1,716,1,1,716
37,1,1,7,4,22,2,12,699,15,0,58.25
45,1,40,10,10,28,3,12,912,8,1,76
53,1,13,11,9,14,1,12,350,9,0,29.17
33,0,60,24,10,18,3,1,423,24,1,423
20,1,5,22,8,0,3,1,973,25,0,973
62,1,26,18,1,16,2,12,683,12,0,56.92
37,1,55,8,8,4,2,1,561,16,0,561
51,1,38,21,4,5,1,3,203,26,0,67.67
21,0,41,13,8,22,3,1,538,18,1,538
64,1,60,25,5,8,3,12,720,24,0,60
41,1,50,15,6,1,2,12,588,10,0,49
44,1,44,30,0,26,2,1,656,6,0,656
20,1,4,26,8,12,2,12,733,4,0,61.08
18,1,28,12,3,20,2,1,261,13,0,261
41,0,58,24,9,16,2,12,447,20,1,37.25
50,1,46,2,4,28,3,12,527,19,0,43.92
59,1,41,29,3,1,1,3,833,5,0,277.67
39,1,29,25,4,2,2,3,254,20,0,84.67
19,1,17,11,6,24,2,3,715,15,0,238.33
29,0,56,21,3,26,1,3,239,29,1,79.67
45,0,20,1,4,15,2,1,224,13,0,224
36,1,24,29,1,26,3,1,566,8,0,566
20,0,9,27,5,16,2,12,295,21,0,24.58
30,0,44,22,4,18,2,3,890,12,0,296.67
33,1,5,25,1,26,2,12,821,27,0,68.42
27,1,29,30,4,3,1,12,258,18,0,21.5
36,0,26,7,2,3,1,12,371,8,0,30.92
33,1,35,29,9,18,1,1,335,8,1,335
18,1,33,18,1,22,1,12,312,29,0,26
64,1,13,20,0,22,2,3,749,14,0,249.67
48,1,36,19,1,13,3,12,140,28,0,11.67
57,0,15,4,5,30,2,3,960,21,1,320
28,0,22,5,1,2,3,3,838,10,0,279.33
28,1,56,7,2,25,1,1,854,26,0,854
22,0,45,29,8,7,2,1,344,17,0,344
56,1,11,10,10,10,1,12,841,26,0,70.08
23,0,31,15,6,11,1,3,705,24,0,235
59,1,44,7,8,9,2,12,890,26,0,74.17
46,1,27,25,6,8,1,1,150,28,0,150
56,1,8,11,10,12,3,3,866,15,0,288.67
37,0,25,19,8,26,2,1,212,13,1,212
36,1,46,5,2,11,3,3,524,6,0,174.67
59,1,36,16,4,26,2,12,894,29,0,74.5
56,0,15,19,3,2,2,3,650,3,0,216.67
51,0,32,20,2,24,2,3,505,21,0,168.33
38,0,29,18,4,16,2,12,909,24,0,75.75
20,1,60,29,7,22,2,3,298,23,1,99.33
60,0,16,24,6,21,1,1,725,14,1,725
49,1,59,9,2,18,3,12,733,18,0,61.08
20,0,55,25,1,26,3,3,382,8,1,127.33
58,0,29,20,0,20,2,3,126,9,0,42
27,1,50,1,10,30,2,12,736,4,1,61.33
20,0,29,5,4,17,1,12,584,26,0,48.67
63,1,46,2,4,9,1,3,969,30,1,323
47,0,33,5,4,23,3,3,393,14,1,131
63,1,18,15,3,27,3,12,722,26,0,60.17
62,1,51,9,2,0,3,1,654,16,0,654
46,0,35,29,8,5,2,1,805,2,0,805
49,0,33,23,3,21,3,12,230,23,1,19.17
46,0,52,26,5,27,1,1,403,14,1,403
64,0,11,7,1,8,1,12,984,14,0,82
60,1,13,17,7,19,1,1,849,26,0,849
54,1,44,24,1,16,3,12,664,3,0,55.33
47,0,52,3,6,1,3,3,408,7,0,136
37,1,55,28,4,26,1,1,826,17,0,826
19,0,1,13,6,9,1,1,302,3,0,302
52,0,33,14,8,2,2,3,846,11,0,282
62,1,5,18,6,14,2,12,205,22,0,17.08
48,1,54,15,7,18,2,3,131,11,1,43.67
60,1,18,27,1,30,2,12,426,30,0,35.5
58,1,15,2,1,13,3,12,309,23,0,25.75
43,1,31,8,7,28,3,1,313,10,1,313
26,1,41,27,8,15,3,1,889,6,0,889
41,0,45,21,5,18,1,3,799,7,1,266.33
22,1,47,15,10,24,3,12,237,17,1,19.75
45,1,14,20,1,13,1,3,828,11,0,276
38,1,59,30,1,28,3,3,481,28,0,160.33
28,1,49,22,6,29,2,3,187,13,1,62.33
56,1,22,21,5,13,3,1,632,22,0,632
42,0,17,14,6,22,2,12,207,10,1,17.25
20,0,59,19,0,10,3,3,366,22,0,122
62,1,52,1,4,22,2,1,153,26,1,153
22,0,37,6,8,17,1,3,212,12,1,70.67
30,0,46,18,4,13,2,3,300,21,0,100
30,0,55,27,6,11,2,1,662,28,0,662
44,1,21,18,4,27,1,3,388,12,0,129.33
58,1,38,26,0,27,3,12,874,12,0,72.83
59,1,41,18,6,18,2,12,971,12,1,80.92
65,1,55,10,5,18,3,3,689,6,1,229.67
30,0,42,15,8,8,3,1,280,20,0,280
28,0,35,19,2,2,3,1,506,22,0,506
58,1,39,16,0,8,1,1,690,17,0,690
63,0,56,28,1,17,1,3,821,7,0,273.67
62,0,35,8,7,8,1,12,514,17,0,42.83
32,0,47,20,0,8,3,1,885,9,0,885
20,1,19,10,5,11,1,3,644,8,0,214.67
28,0,28,9,5,9,3,1,628,18,0,628
19,1,54,27,6,30,2,3,131,20,1,43.67
24,0,48,29,10,30,3,1,278,26,1,278
43,1,28,4,10,9,3,12,280,15,0,23.33
38,0,13,13,6,27,2,3,466,14,1,155.33
52,0,26,28,3,6,2,3,953,5,0,317.67
25,1,4,14,5,16,3,12,465,17,0,38.75
37,1,10,22,2,3,3,12,292,6,0,24.33
56,1,35,15,4,18,2,1,940,1,0,940
55,0,28,11,0,21,3,1,741,4,1,741
41,0,14,18,10,15,1,12,380,7,0,31.67
61,1,46,5,2,3,3,12,501,21,0,41.75
20,0,50,8,2,30,1,12,407,29,1,33.92
40,1,5,1,3,21,2,12,101,12,1,8.42
19,1,40,22,0,24,3,3,212,20,0,70.67
44,1,34,30,4,28,2,3,654,26,0,218
24,0,8,7,8,29,3,12,226,4,1,18.83
28,0,1,4,6,1,3,12,337,6,0,28.08
41,1,35,8,3,28,2,12,163,8,0,13.58
20,0,56,12,5,14,1,3,837,9,0,279
52,1,33,27,0,19,1,1,719,18,0,719
47,1,14,28,4,26,1,3,987,2,0,329
47,0,23,6,1,17,1,12,300,27,0,25
18,0,50,10,6,27,2,1,487,18,1,487
37,1,42,26,5,24,3,3,862,9,1,287.33
36,1,38,14,4,7,1,12,863,7,0,71.92
48,0,35,26,3,5,3,3,415,20,0,138.33
35,0,21,19,9,11,1,1,607,21,0,607
52,0,9,2,5,3,3,1,592,24,1,592
58,0,42,24,8,3,2,12,256,17,0,21.33
62,1,35,18,4,24,3,3,603,9,0,201
19,0,26,18,10,18,2,1,721,25,1,721
41,0,49,27,0,5,2,1,329,8,0,329
46,1,12,26,9,3,1,1,173,29,0,173
29,1,24,30,1,7,2,12,101,30,0,8.42
24,1,56,23,3,30,2,3,123,14,0,41
31,0,16,8,0,1,1,12,438,23,0,36.5
49,1,41,5,10,4,1,12,532,27,0,44.33
29,0,37,16,0,7,2,1,845,2,0,845
24,0,42,17,7,8,1,12,210,29,0,17.5
19,0,29,28,1,21,1,12,802,17,0,66.83
55,1,20,18,5,4,3,3,305,26,0,101.67
62,1,3,6,5,0,2,3,808,26,0,269.33
45,0,47,19,10,23,1,1,464,24,1,464
31,1,52,7,10,19,3,3,197,3,1,65.67
59,0,7,30,4,5,3,3,646,9,0,215.33
64,1,51,1,0,22,1,1,800,9,0,800
51,0,57,21,3,11,3,1,471,11,0,471
36,1,15,10,8,0,2,12,672,2,0,56
23,0,39,11,2,24,2,1,666,25,1,666
61,1,42,3,2,24,2,1,525,25,0,525
25,0,32,1,0,5,2,12,404,27,0,33.67
45,0,59,11,7,20,2,12,175,29,1,14.58
58,0,60,5,8,17,3,12,951,13,1,79.25
59,1,7,30,10,21,2,12,285,4,0,23.75
52,1,37,17,5,10,3,1,476,1,0,476
34,0,57,9,8,10,2,1,603,25,0,603
41,1,2,22,7,23,2,1,681,23,0,681
27,0,21,24,4,30,2,12,823,28,0,68.58
26,1,54,26,8,27,1,12,525,30,1,43.75
63,0,8,22,5,12,1,12,582,27,0,48.5
53,1,46,5,5,4,3,1,977,2,1,977
42,0,38,18,2,18,1,1,808,6,0,808
55,1,56,30,8,10,2,3,550,17,0,183.33
23,0,48,11,8,26,1,1,169,15,1,169
36,0,51,21,6,16,3,1,278,27,1,278
44,0,57,10,8,7,2,1,163,17,0,163
45,1,16,14,3,9,1,1,474,14,0,474
29,1,17,5,7,22,1,12,446,7,0,37.17
47,0,37,20,8,16,3,1,641,2,1,641
53,0,44,21,10,27,2,12,650,3,1,54.17
24,0,3,8,4,8,3,3,647,21,0,215.67
61,0,4,29,6,6,3,12,428,8,0,35.67
22,1,59,23,1,6,3,1,707,12,0,707
46,0,42,18,6,5,3,1,719,6,0,719
55,0,29,3,8,4,1,3,918,9,1,306
28,1,16,15,2,28,2,3,704,23,0,234.67
28,1,17,4,5,25,1,12,519,8,0,43.25
28,0,34,28,9,8,2,3,672,27,0,224
30,1,40,30,7,14,1,1,296,25,0,296
35,0,56,29,6,0,1,3,718,6,0,239.33
28,1,2,8,7,16,1,12,141,8,0,11.75
27,0,19,7,2,1,3,1,928,12,0,928
60,0,46,6,1,25,2,1,621,2,1,621
22,1,60,11,2,12,3,1,736,1,0,736
51,0,6,20,7,22,3,1,999,3,1,999
49,0,9,24,6,18,1,3,977,5,0,325.67
30,1,41,17,2,14,1,1,706,12,0,706
43,1,33,26,6,0,3,3,593,26,0,197.67
57,0,41,7,3,25,3,3,130,18,1,43.33
56,0,30,24,7,10,2,1,862,7,0,862
62,0,47,8,10,7,1,12,107,9,0,8.92
29,1,1,1,2,1,3,3,431,8,0,143.67
50,0,41,11,7,10,2,1,503,24,0,503
54,0,30,6,1,24,2,1,721,16,1,721
55,0,39,30,6,1,1,12,795,2,0,66.25
30,0,37,28,5,17,3,12,124,19,1,10.33
53,0,45,25,1,11,2,1,420,18,0,420
62,1,14,5,0,8,2,3,197,5,0,65.67
57,0,35,15,1,17,3,3,632,19,0,210.67
25,0,46,30,7,22,3,3,982,18,1,327.33
34,1,17,23,9,28,2,3,421,16,0,140.33
59,0,1,11,5,23,1,3,687,9,0,229
35,1,2,25,3,23,1,1,899,29,0,899
24,1,13,8,5,1,3,3,686,15,0,228.67
21,0,45,5,2,10,1,12,288,11,0,24
50,0,40,7,2,23,1,12,928,27,0,77.33
53,1,10,17,4,25,3,12,321,12,0,26.75
27,1,39,18,1,11,1,12,651,27,0,54.25
23,1,20,14,3,22,3,12,924,20,0,77
41,0,41,15,10,27,3,3,814,19,1,271.33
54,1,41,21,2,17,2,1,420,21,0,420
57,0,55,12,4,26,1,1,265,8,1,265
46,1,37,21,9,6,1,1,425,21,0,425
52,0,33,27,0,1,2,1,808,10,0,808
24,1,32,28,5,9,3,1,218,2,0,218
45,1,3,6,1,17,2,12,418,10,0,34.83
47,0,12,18,1,13,3,12,872,24,0,72.67
24,0,14,11,9,6,1,3,693,27,0,231
65,1,45,2,3,16,2,12,738,1,0,61.5
32,1,52,5,10,7,3,12,839,10,0,69.92
39,0,36,30,7,5,2,3,149,4,0,49.67
36,0,28,24,2,24,3,3,136,1,1,45.33
57,1,57,7,5,26,3,12,699,26,1,58.25
26,1,19,17,7,23,3,3,870,2,0,290
54,1,38,24,3,13,1,12,619,5,0,51.58
54,0,46,6,2,15,1,1,959,4,0,959
60,0,12,5,1,17,1,12,826,7,0,68.83
45,0,16,3,0,8,1,1,763,24,0,763
21,1,1,30,4,4,3,12,642,21,0,53.5
65,1,27,17,3,23,3,12,328,23,0,27.33
21,0,41,24,5,10,1,12,524,13,0,43.67
63,0,60,30,0,7,3,12,494,19,0,41.17
40,0,49,5,6,21,2,1,292,14,1,292
31,0,9,11,4,19,3,12,999,2,0,83.25
44,1,45,26,3,1,2,12,927,9,0,77.25
33,0,51,1,5,9,2,3,415,3,0,138.33
52,0,56,10,4,5,2,3,444,9,0,148
25,0,25,30,6,3,3,12,425,29,0,35.42
33,0,16,4,5,21,3,12,233,21,1,19.42
18,1,21,10,7,20,1,1,968,18,0,968
63,0,11,8,1,20,2,12,534,27,0,44.5
34,1,58,29,0,13,3,3,238,29,0,79.33
31,1,34,1,9,24,3,12,190,16,1,15.83
28,0,43,23,0,9,2,12,421,13,0,35.08
44,1,29,27,6,2,2,1,653,8,0,653
30,0,30,4,3,8,1,3,536,27,0,178.67
43,1,31,3,2,20,1,12,406,13,0,33.83
36,1,24,22,5,25,2,12,665,20,1,55.42
18,1,8,3,7,20,3,3,412,26,0,137.33
46,0,43,3,6,19,1,1,165,23,1,165
54,1,18,4,1,22,1,1,272,29,0,272
42,0,52,5,6,30,2,3,271,29,1,90.33
39,0,12,28,0,1,2,1,233,27,0,233
36,0,36,24,2,13,2,3,535,1,0,178.33
19,0,58,15,9,17,1,1,317,2,1,317
50,1,36,28,7,0,3,12,775,11,0,64.58
58,0,9,19,4,26,1,12,805,21,0,67.08
43,0,29,24,6,4,3,3,675,21,0,225
29,0,33,2,7,13,3,3,190,9,0,63.33
20,1,58,2,5,2,1,3,524,4,0,174.67
57,0,34,1,5,20,3,1,790,10,1,790
25,1,47,28,0,22,3,1,548,1,0,548
63,1,23,13,3,19,3,1,966,19,0,966
42,1,25,6,4,6,1,1,590,2,0,590
47,1,1,21,10,21,1,3,271,21,0,90.33
50,1,7,15,10,6,1,3,921,14,0,307
23,1,7,27,8,18,2,12,776,16,0,64.67
37,1,9,10,7,28,1,12,383,5,0,31.92
18,0,1,21,8,17,2,12,360,28,0,30
64,1,45,26,2,20,3,3,676,11,0,225.33
20,0,6,21,8,26,3,12,948,3,0,79
22,1,33,5,1,0,3,3,982,13,0,327.33
59,0,44,6,10,26,2,1,291,15,1,291
27,0,21,4,10,21,2,12,900,4,0,75
24,0,27,15,2,6,2,3,907,9,0,302.33
29,1,49,25,10,24,3,1,865,23,1,865
53,1,30,24,4,24,3,3,346,29,0,115.33
38,1,31,9,3,5,2,1,158,10,0,158
44,0,1,25,6,2,3,1,474,2,0,474
51,0,2,24,4,28,2,3,846,28,0,282
30,1,53,7,9,20,2,12,307,8,1,25.58
22,1,52,9,5,8,3,12,788,19,0,65.67
33,0,55,15,8,30,1,12,611,16,1,50.92
24,0,1,16,10,11,1,1,583,20,0,583
46,1,30,29,5,10,3,12,447,30,0,37.25
55,1,1,9,9,17,3,12,337,30,0,28.08
30,1,58,5,7,22,3,3,848,6,1,282.67
30,1,35,25,1,26,1,1,228,15,0,228
45,1,13,29,3,18,3,3,642,18,0,214
22,0,49,23,0,19,2,12,168,14,0,14
58,0,38,6,9,29,2,12,284,29,1,23.67
22,1,56,3,2,29,1,3,792,12,0,264
59,1,3,7,6,22,2,3,466,6,0,155.33
56,0,21,6,2,12,1,3,823,8,0,274.33
36,1,30,19,9,11,1,12,121,3,0,10.08
35,1,30,30,7,1,2,3,350,8,0,116.67
61,1,49,8,4,10,1,12,880,14,0,73.33
48,0,19,27,6,12,3,1,992,12,0,992
23,1,32,1,6,27,2,3,336,25,1,112
47,1,40,8,9,8,2,1,562,17,0,562
61,1,53,30,0,0,1,12,521,1,0,43.42
61,0,60,24,1,25,2,3,681,27,0,227
26,0,59,8,4,26,1,1,409,20,1,409
25,0,15,30,1,4,3,1,690,20,0,690
22,0,49,7,8,8,2,12,751,5,0,62.58
30,0,24,8,6,0,1,1,191,17,0,191
51,0,11,8,7,3,1,1,649,20,0,649
42,0,20,6,2,16,2,1,445,29,0,445
25,1,25,30,0,23,3,12,641,4,0,53.42
25,0,24,17,6,22,2,12,489,12,1,40.75
22,0,36,30,4,7,1,12,362,2,0,30.17
46,1,11,19,2,7,2,3,612,8,0,204
24,1,19,18,4,30,1,12,814,20,0,67.83
43,0,48,6,3,15,3,3,183,17,0,61
46,1,52,22,3,16,3,1,494,17,0,494
39,0,44,30,2,30,2,12,844,23,0,70.33
35,1,22,4,2,25,1,3,735,15,0,245
61,1,16,25,8,19,2,3,804,19,0,268
51,1,38,26,1,18,3,1,318,5,0,318
28,1,60,16,9,7,1,1,494,5,0,494
26,0,44,15,1,24,2,3,109,5,1,36.33
64,1,37,3,1,14,2,12,457,15,0,38.08
30,0,24,15,0,2,3,3,755,15,0,251.67
36,0,34,24,8,30,2,3,948,30,1,316
32,1,43,8,2,14,2,12,323,7,0,26.92
45,1,7,30,7,25,1,12,978,29,0,81.5
18,0,21,2,7,3,3,12,312,8,0,26
34,0,27,20,0,17,1,12,399,4,0,33.25
23,1,24,6,1,28,1,1,388,15,0,388
61,0,8,18,0,5,2,3,447,19,0,149
47,0,39,15,6,9,3,1,912,12,0,912
31,0,33,30,8,14,2,3,543,27,0,181
25,1,7,11,8,29,2,1,441,10,0,441
24,0,25,23,9,11,3,12,314,21,0,26.17
59,1,26,28,0,27,2,1,523,29,0,523
50,0,32,9,1,29,1,3,752,14,0,250.67
59,0,45,14,7,16,3,1,440,7,1,440
55,1,52,11,0,11,2,12,478,11,0,39.83
56,0,23,18,2,14,1,12,625,6,0,52.08
61,0,24,15,3,13,3,1,770,11,0,770
39,0,48,1,8,16,3,3,317,12,1,105.67
64,0,15,13,6,6,1,3,493,25,0,164.33
35,0,52,2,4,20,3,3,851,9,0,283.67
27,1,54,11,3,27,1,12,389,27,0,32.42
46,0,29,2,8,21,1,12,344,17,1,28.67
54,1,9,1,4,2,2,12,590,26,1,49.17
37,1,15,11,6,14,3,1,152,14,0,152
27,0,56,8,0,23,1,1,833,11,1,833
37,0,13,13,8,12,2,3,439,18,0,146.33
27,1,15,24,5,10,2,12,831,13,0,69.25
47,1,53,8,0,21,2,3,745,9,0,248.33
63,0,10,24,1,4,2,1,919,15,0,919
63,0,20,15,9,13,3,1,704,3,0,704
30,1,11,1,5,6,2,12,373,23,1,31.08
53,1,52,10,0,0,1,12,974,8,0,81.17
30,0,59,3,7,0,3,3,956,27,0,318.67
25,0,32,15,5,10,3,12,849,27,0,70.75
18,1,13,4,6,30,3,12,857,22,0,71.42
36,1,57,21,0,27,2,3,648,19,0,216
62,0,17,19,8,15,2,1,182,19,0,182
64,0,4,15,7,13,3,3,344,23,0,114.67
62,1,50,15,0,22,3,1,913,9,0,913
22,0,22,22,9,5,2,1,534,17,0,534
38,0,12,29,8,3,2,3,619,10,0,206.33
59,0,46,8,7,12,2,3,891,6,0,297
37,1,5,18,3,30,1,3,569,25,0,189.67
35,1,40,7,3,23,3,3,752,13,0,250.67
28,1,5,8,0,28,3,1,880,3,0,880
23,1,59,11,10,1,3,12,970,16,0,80.83
38,1,11,10,1,27,2,1,155,8,0,155
51,0,20,2,6,8,2,12,230,23,1,19.17
46,1,60,11,8,11,2,3,805,26,0,268.33
60,0,10,1,2,16,3,1,328,20,0,328
60,0,49,23,3,7,2,12,166,12,0,13.83
48,1,5,29,6,1,3,1,976,22,0,976
36,1,26,15,2,25,3,3,654,30,0,218
